excelRow,id,no,town,creek,point,landmark,matched,slide,score,image,title
28,row-28,31,太麻里鄉,東縣DF120野溪,東縣DF120潛勢溪流溢流點,南28號隧道(台鐵),YES,46,60,slides/row-28-no-31-slide-046.webp,DF120( 編號 31) 台鐵南 28 號隧道 勘查日期： 2025/3/30 114 年檢視情形 上游 S
29,row-29,34,太麻里鄉,東縣DF124野溪,東縣DF124潛勢溪流溢流點,南北坑,YES,49,75,slides/row-29-no-34-slide-049.webp,DF124( 編號 34) 南北坑 勘查日期： 2025/3/30 114 年檢視情形 上游 S 淤 =5°
30,row-30,35,太麻里鄉,東縣DF125野溪,東縣DF125潛勢溪流溢流點(BD01),華源五號橋,YES,50,75,slides/row-30-no-35-slide-050.webp,DF125( 編號 35) 華源五號橋 勘查日期： 2025/3/30 114 年檢視情形 上游 S 淤 =9°
31,row-31,35.1,太麻里鄉,東縣DF125野溪,東縣DF125潛勢溪流溢流點(CD01),華源三號橋,YES,51,75,slides/row-31-no-35.1-slide-051.webp,DF125( 編號 35.1) 華源三號橋 勘查日期： 2025/3/30 114 年檢視情形 上游 S 淤 =7°
32,row-32,36,成功鎮,東縣DF151野溪,東縣DF151潛勢溪流溢流點,大濱橋,YES,53,75,slides/row-32-no-36-slide-053.webp,DF151( 編號 36) 大濱橋 勘查日期： 2025/4/27 114 年檢視情形 3m 41m 下游 上游
33,row-33,37,成功鎮,東縣DF152野溪,東縣DF152潛勢溪流溢流點,都威橋,YES,54,75,slides/row-33-no-37-slide-054.webp,DF152( 編號 37) 都威橋 勘查日期： 2025/4/27 114 年檢視情形 6m 42.5m 下游 上游
34,row-34,39,成功鎮,東縣DF154野溪,東縣DF154潛勢溪流溢流點(BD01),,YES,57,60,slides/row-34-no-39-slide-057.webp,DF154( 編號 39) 富平橋 勘查日期： 2025/4/27 114 年檢視情形 下游 S 淤 =4.5°
35,row-35,39.1,成功鎮,東縣DF154野溪,東縣DF154潛勢溪流溢流點(CD01),,YES,58,60,slides/row-35-no-39.1-slide-058.webp,DF154( 編號 39.1) 富平橋 勘查日期： 2025/4/27 114 年檢視情形 4m 20m 下游 S
36,row-36,41,成功鎮,東縣DF158野溪,東縣DF158潛勢溪流溢流點,美佐呂橋,YES,60,75,slides/row-36-no-41-slide-060.webp,DF158( 編號 41) 美佐呂橋 勘查日期： 2025/4/27 114 年檢視情形 4.5m 23m 下游 S
37,row-37,42,成功鎮,東縣DF159野溪,東縣DF159潛勢溪流溢流點,玉水橋,YES,61,75,slides/row-37-no-42-slide-061.webp,DF159( 編號 42) 玉水橋 勘查日期： 2025/4/27 114 年檢視情形 5.4m 11.5m 下游 S
38,row-38,43,池上鄉,東縣DF001野溪,東縣DF001潛勢溪流溢流點(BD01),萬安溪上游,YES,63,75,slides/row-38-no-43-slide-063.webp,DF001( 編號 43) 萬安溪上游 勘查日期： 2025/6/17 114 年檢視情形 3m 8.5m 下游 S
39,row-39,43.1,池上鄉,東縣DF001野溪,東縣DF001潛勢溪流溢流點(CD01),萬安溪上游,YES,64,75,slides/row-39-no-43.1-slide-064.webp,"東縣 DF001 TWD97 ： 274146 , 2554644 DF001 野溪 ( 編號 43.1) 萬安溪上游 勘查日期："
40,row-40,44,池上鄉,山棕寮野溪重大溪段,橋涵,四號橋,YES,65,95,slides/row-40-no-44-slide-065.webp,山棕寮野溪重大溪段 ( 編號 44) 四號橋 勘查日期： 2025/6/17 114 年檢視情形 68m 6m 下游
41,row-41,45,卑南鄉,東縣DF038野溪,東縣DF038潛勢溪流溢流點,明峰寺,YES,67,75,slides/row-41-no-45-slide-067.webp,"TWD97 ： 259485, 2530423 DF038( 編號 45) 明峰寺 勘查日期： 2025/6/25 114 年檢視情形 圖例"
42,row-42,45-B (新增點位),卑南鄉,東縣DF038-B野溪,東縣DF038潛勢溪流調查新增點位,明峰寺,YES,68,MANUAL,slides/row-42-no-45-B-slide-068.webp,"TWD97 ： 259545, 2530343 DF038-B( 編號 45-B) 明峰寺 勘查日期： 2025/6/25 114 年檢視情形 圖例 構造物 土石流潛勢溪流 土石流影響範圍 東縣 DF038 集水區"
43,row-43,46,卑南鄉,東縣DF041野溪,東縣DF041潛勢溪流溢流點,,YES,69,60,slides/row-43-no-46-slide-069.webp,"TWD97 ： 260181,2529035 DF041( 編號 46) 初鹿國小 勘查日期： 2025/6/25 114 年檢視情形 圖例"
44,row-44,47,卑南鄉,東縣DF042野溪,東縣DF042潛勢溪流溢流點,朝安堂,YES,70,75,slides/row-44-no-47-slide-070.webp,"TWD97 ： 259064,2529645 DF042( 編號 47) 朝安堂 勘查日期： 2025/6/25 114 年檢視情形 下游"
45,row-45,48,卑南鄉,東縣DF043野溪,東縣DF043潛勢溪流溢流點,自強橋,YES,71,75,slides/row-45-no-48-slide-071.webp,"TWD97 ： 258986, 2528898 DF043( 編號 48) 自強橋 勘查日期： 2025/6/25 114 年檢視情形 下游"
46,row-46,49,卑南鄉,東縣DF044野溪,東縣DF044潛勢溪流溢流點,初鹿一街,YES,72,75,slides/row-46-no-49-slide-072.webp,"TWD97 ： 258514,2528599 DF044( 編號 49) 初鹿一街 勘查日期： 2025/6/25 114 年檢視情形 下游"
47,row-47,51,卑南鄉,東縣DF046野溪,東縣DF046潛勢溪流溢流點(BD01),聖賢寺(新班鳩溪上游),YES,75,75,slides/row-47-no-51-slide-075.webp,DF046( 編號 51) 聖賢寺 ( 新班鳩溪上游 ) 勘查日期： 2025/6/16 114 年檢視情形 下游
48,row-48,51.1,卑南鄉,東縣DF046野溪,東縣DF046潛勢溪流溢流點(BD02),新班鳩產業道路(新班鳩溪上游),YES,76,60,slides/row-48-no-51.1-slide-076.webp,"TWD97 ： 256907 , 2527389 DF046( 編號 51.1) 新班鳩產業路 勘查日期： 2025/6/16 114 年檢視情形 2.6m"
